合同号,客户名,合同标题,合同总额,已回款,应收未结,合同到期日,原关闭原因,关闭时间,负责人,签订人
QT-HT-2026-0548,杭州沐辰家居有限公司,杭州沐辰家居有限公司-风险管控-2021年,10000.00,0,10000.00,2021-04-14 16:00:00,overdue_terminated,2026-06-26 10:00:04,杨正洪,吴增苗
QT-HT-2026-2518,杭州宝菱重工机械有限公司,杭州宝菱重工机械有限公司-社会化服务-2023年,30000.00,20000.00,10000.00,2026-06-07 16:00:00,,2026-06-23 03:18:57,何俊,沈琳莉
QT-HT-2026-2523,（园区）杭州汇吉实业有限公司,（园区）杭州汇吉实业有限公司-社会化服务-2023年,30000.00,20000.00,10000.00,2026-06-07 16:00:00,,2026-06-23 03:18:57,陈涛,陈涛
QT-HT-2026-1646,埃德玛香精（杭州）有限公司,埃德玛香精（杭州）有限公司-社会化服务（锦泰）-2022年,30000.00,20000.00,10000.00,2025-05-23 16:00:00,,2026-06-23 03:18:57,陈培奖,朱越华
HZQT20240222,杭州全成金属制品有限公司,杭州全成金属制品有限公司-社会化服务-2024年,30000.00,20000.00,10000.00,2027-06-15 16:00:00,,2026-06-25 08:00:32,李文俊,李文俊
HZQT20250091,（园区）杭州信筱贸易有限公司,（园区）杭州信筱贸易有限公司-社会化服务-2025年,10000.00,0,10000.00,2026-03-26 16:00:00,overdue_terminated,2026-06-26 10:00:06,陈涛,陈涛
QT-HT-2026-1862,杭州今日印刷科技有限公司,杭州今日印刷科技有限公司-社会化服务-2022年,30000.00,20000.00,10000.00,2025-10-30 16:00:00,,2026-06-23 03:18:57,陈涛,朱越华
HZJT20240260,杭州巧兰包装制品有限公司,杭州巧兰包装制品有限公司-社会化服务（锦泰）-2024年,10000.00,0,10000.00,2025-11-02 16:00:00,overdue_terminated,2026-06-26 10:00:06,黄杰,吴增苗
HZQT20240353,杭州松井包装有限公司,杭州松井包装有限公司-社会化服务-2024年,27000.00,18000.00,9000.00,2027-12-08 16:00:00,,2026-06-25 08:00:32,何俊,何俊
QT-HT-2026-2101,归创通桥医疗科技股份有限公司,归创通桥医疗科技股份有限公司-标准化咨询-2023年,18000.00,9000.00,9000.00,2025-03-30 16:00:00,,2026-06-23 03:18:57,沈陈强,朱越华
QT-HT-2026-1071,杭州飞玛汽车服务有限公司,杭州飞玛汽车服务有限公司-风险管控-2021年,9000.00,0,9000.00,2021-09-01 16:00:00,overdue_terminated,2026-06-26 10:00:04,彭代中,彭代中
QT-HT-2026-0195,杭州万立特布艺有限公司,杭州万立特布艺有限公司-风险管控-2021年,9000.00,0,9000.00,2022-01-30 16:00:00,overdue_terminated,2026-06-26 10:00:04,陈卫杰,许海菲
HZQT20240075,杭州欧特包装有限公司,杭州欧特包装有限公司-安全生产台账-2024年,9000.00,0,9000.00,2025-09-29 16:00:00,overdue_terminated,2026-06-26 10:00:05,李文俊,李文俊
QT-HT-2026-1737,杭州富义仓米业有限公司,杭州富义仓米业有限公司-风险管控（华增）-2022年,8500.00,0,8500.00,2022-08-30 16:00:00,overdue_terminated,2026-06-26 10:00:04,胡建国,沈琳莉
QT-HT-2026-2209,杭州杭子木业有限公司,杭州杭子木业有限公司-标准化咨询（锦泰）-2023年,8000.00,0,8000.00,2026-04-29 16:00:00,overdue_terminated,2026-06-28 16:00:03,施佳鑫,吴增苗
QT-HT-2026-0258,杭州慧杭包装有限公司,杭州慧杭包装有限公司-社会化服务（锦泰）-2021年,15000.00,7000.00,8000.00,2024-02-23 16:00:00,overdue_terminated,2026-06-26 10:00:02,赵丽琴,吴增苗
HZJT20240011,杭州雄睿铜装饰工程有限公司,杭州雄睿铜装饰工程有限公司-安全生产台账（锦泰）-2024年,24000.00,16000.00,8000.00,2027-01-08 16:00:00,,2026-06-25 08:00:32,沈陈强,沈陈强
HZQT20240234,杭州三强安全防护用品有限公司,杭州三强安全防护用品有限公司-安全生产台账-2024年,24000.00,16000.00,8000.00,2027-06-15 16:00:00,,2026-06-25 08:00:32,孙国茗,孙国茗
HZQT20250150,万通智控科技股份有限公司,万通智控科技股份有限公司-风险管控-2025年,15000.00,7500.00,7500.00,2025-11-29 16:00:00,overdue_terminated,2026-06-26 10:00:06,何俊,何俊
QT-HT-2026-0792,杭州万立特布艺有限公司,杭州万立特布艺有限公司-标准化咨询-2021年,7500.00,0,7500.00,2022-03-31 16:00:00,overdue_terminated,2026-06-26 10:00:02,许海菲,吴增苗
